measles,german_measles
dwelling,yurt
acetum,wine_vinegar
atomic_weapon,megaton_bomb
apnea,sleep_apnea
teashop,buttery
oil_palm,american_oil_palm
blood_transfusion,exchange_transfusion
cut_of_meat,cut_of_pork
atomic_number,magic_number
change_of_direction,change_of_course
urban_area,barrio
soft_drink,quinine_water
exercise,weight-lift
medical_scientist,toxicologist
course_catalogue,preliminary_prospectus
k,millenary
feline,big_cat
puff_paste,phyllo
biting_louse,menopon_palladum
outcrop,outthrust
dent,dig
heating_plant,steam_heat
booth,stall
householder,weekend_warrior
common_fraction,quintillionth
compatriot,countrywoman
onion_plant,allium_haematochiton
hypercholesterolemia,familial_hypercholesterolemia
pectoral_muscle,pectoralis_minor
environs,parts
cola,pepsi
whisker_jack,perisoreus_canadensis_capitalis
inner_circle,hard_core
economic_system,state_socialism
callus,chestnut
skin_rash,hives
proclamation,promulgation
ostinato,riff
yellow-green_algae,conferva
squash_vine,winter_squash
jostle,shoulder_in
hops,humulus_japonicus
old_world_buffalo,synercus_caffer
nonfiction,article
nontricyclic,desyrel
mental_health,sanity
collotype_printing,heliotype
labium,labia_minora
dissension,divide
mite,tetranychid
live_oak,interior_live_oak
elation,euphoria
swampland,slough
external_respiration,second_wind
ace_inhibitor,trandolapril
excess,superfluity
art_dealer,print_seller
slough,peel_off
gospel_singing,soul
semblance,portrait
truism,platitude
change_of_state,spiritualization
hob,sandman
psychic,spirit_rapper
triumph,glory
tap,buttonhole
yeller,crier
motion-picture_camera,sound_camera
envy,covet
conch,strombus_gigas
screen_actor,film_star
presenile_dementia,pick's_disease
mental_synthesis,gestation
tormentor,witch-hunter
owner,shipowner
subsidy,price_support
promiscuousness,one-night_stand
hesitation,sloth
adjective,superlative_degree
bed_clothing,throw
inconvenience,inopportuneness
zoolatry,ophiolatry
kilogram,key
earring,eardrop
ooze,secrete
pacific_newt,taricha_torosa
frill,peplum
suspension,rustication
soldier_of_fortune,ninja
exposure,repudiation
verpa,verpa_conica
topographic_point,zone
chickadee,parus_carolinensis
architect,town
inaptitude,incapability
drop-leaf_table,gateleg_table
fridge,ice_machine
basketball_play,give-and-go
white,hoariness
sucking_louse,crab_louse
common_bean,haricot
business_district,tin_pan_alley
fidelity,trueness
leavening,yeast
mare's_nest,rummage
endorser,accommodation_endorser
captor,surpriser
crib,corncrib
turning_away,near_thing
oppression,weight
perfect,brush_up
lefteyed_flounder,turbot
mealtime,suppertime
amphipod,whale_louse
tree_stump,stool
chicory,radicchio
cruciferous_plant,malheur_wire_lettuce
byproduct,epiphenomenon
gambling_hell,gambling_casino
common_measure,greatest_common_factor
gelechiid_moth,phthorimaea_operculella
focalization,refocusing
genipa,jagua
autoimmune_disorder,thrombocytopenic_purpura
old_world_monkey,nasalis_larvatus
toddy,tom_and_jerry
spyhole,judas
tree,stemma
footgear,carpet_slipper
solanaceous_vegetable,tomatillo
house_of_god,temple
heart_and_soul,stuff
occasion,inspire
wood_pussy,spotted_skunk
running_head,running_title
gall,chutzpa
pulling,traction
horologe,watch
stockman,sheepman
defense_reaction,repression
piety,godliness
acanthopterygian,flatfish
folk_ballad,fado
veronica,thyme-leaved_speedwell
cure,dun
western_dewberry,rubus_ursinus_loganobaccus
pledgee,pawnbroker
sheik,macaroni
water-base_paint,water-color
turk,effendi
uncovering,rediscovery
role_player,walk-on
charter,royal_charter
ship's_officer,supercargo
drill_bit,rock_bit
rosinweed,curlycup_gumweed
piling,sheet_piling
necessary,want
charge_card,cash_card
hawk,osprey
psychical_communication,parapsychology
lingerie,undies
asperity,sternness
serial_killer,spree_killer
acrylic_resin,polymethyl_methacrylate
drifter,hobo
sluggishness,hebetude
fire,cremate
reversal,undoing
barbed_wire,concertina
resourcefulness,armoury
morphia,apomorphine
touch_sensation,skin_sensation
nonaccomplishment,negligence
